SURVYEAR	LFSSTAT	PROV	SEX	TENURE	UNION	HRLYEARN	EDUC	AGE
1999	Employed,	ON	Male	46	No	31.25	BA or More	30-44
1999	Employed,	ON	Male	58	NA	NA	HS Grad	45-59
1999	Employed,	QU	Male	75	NA	NA	HS Dropout	30-44
1999	Employed,	BC	Female	91	No	13	HS Grad	30-44
1999	Employed,	QU	Male	198	Yes	17	HS Dropout	45-59
1999	Employed,	QU	Male	8	No	15	HS Dropout	15-29
1999	Employed,	BC	Female	7	NA	NA	HS Grad	45-59
1999	Employed,	QU	Female	43	Yes	12.82	BA or More	15-29
1999	Employed,	QU	Male	37	No	26.37	HS Dropout	30-44
1999	Unemployed	AL	Male	NA	NA	NA	BA or More	45-59
1999	Employed,	QU	Female	5	NA	NA	HS Grad	15-29
1999	Employed,	ON	Male	92	NA	NA	Some PS	30-44
1999	Employed,	QU	Female	145	No	20	BA or More	30-44
1999	Employed,	QU	Male	189	Yes	27	BA or More	15-29
1999	Employed,	AL	Male	75	No	19.62	Some PS	30-44
1999	Employed,	BC	Male	26	No	9.81	Some PS	30-44
1999	Employed,	QU	Female	135	Yes	15	Some PS	30-44
1999	Employed,	QU	Female	14	No	7.2	Some PS	30-44
1999	Employed,	ON	Male	240	Yes	28.85	BA or More	45-59
1999	Employed,	BC	Male	2	No	18.27	BA or More	15-29
1999	Employed,	ON	Male	240	NA	NA	HS Dropout	60+
1999	Unemployed	ON	Male	NA	NA	NA	HS Dropout	30-44
1999	Employed,	AL	Female	25	No	9	Some PS	45-59
1999	Employed,	BC	Male	103	NA	NA	Some PS	30-44
1999	Employed,	QU	Female	51	No	8	HS Grad	45-59
1999	Employed,	QU	Female	167	Yes	28	Some PS	30-44
1999	Employed,	ON	Female	10	No	28	BA or More	30-44
1999	Employed,	ON	Male	176	Yes	24.04	BA or More	45-59
1999	Employed,	AL	Male	58	NA	NA	BA or More	60+
1999	Employed,	QU	Male	31	No	10	HS Dropout	30-44
1999	Employed,	BC	Female	13	Yes	22	BA or More	15-29
1999	Employed,	ON	Female	240	No	17.5	HS Grad	30-44
1999	Employed,	ON	Male	16	No	6.25	Some PS	15-29
1999	Employed,	BC	Female	79	Yes	20	BA or More	45-59
1999	Employed,	QU	Female	132	Yes	23.08	Some PS	30-44
1999	Employed,	AL	Female	2	No	7	Some PS	15-29
1999	Employed,	AL	Female	46	NA	NA	BA or More	45-59
1999	Employed,	ON	Female	29	NA	NA	Some PS	30-44
1999	Employed,	QU	Male	66	NA	NA	HS Dropout	30-44
1999	Employed,	ON	Male	240	Yes	16.98	HS Dropout	30-44
1999	Unemployed	ON	Female	NA	NA	NA	Some PS	30-44
1999	Employed,	QU	Male	18	No	10	Some PS	15-29
1999	Employed,	BC	Male	13	NA	NA	Some PS	45-59
1999	Employed,	AL	Female	14	No	9	Some PS	30-44
1999	Employed,	ON	Male	240	No	40.38	Some PS	45-59
1999	Employed,	ON	Male	17	NA	NA	BA or More	30-44
1999	Employed,	ON	Male	15	No	8	HS Dropout	15-29
1999	Employed,	QU	Male	27	No	8.5	HS Grad	15-29
1999	Unemployed	BC	Female	NA	NA	NA	HS Dropout	15-29
1999	Employed,	ON	Male	22	No	15.75	Some PS	30-44
1999	Employed,	ON	Male	240	Yes	20	HS Grad	45-59
1999	Employed,	AL	Female	93	NA	NA	Some PS	30-44
1999	Employed,	ON	Male	164	Yes	22	Some PS	30-44
1999	Employed,	ON	Female	9	No	6.95	HS Grad	15-29
1999	Employed,	BC	Male	2	No	7.15	Some PS	15-29
1999	Employed,	BC	Female	8	No	15	Some PS	45-59
1999	Employed,	ON	Male	63	No	20	HS Dropout	45-59
1999	Employed,	AL	Female	39	NA	NA	Some PS	15-29
1999	Employed,	BC	Male	68	NA	NA	Some PS	30-44
1999	Employed,	QU	Male	219	No	16	HS Dropout	45-59
1999	Employed,	ON	Male	2	No	8	HS Grad	15-29
1999	Employed,	ON	Female	73	No	11	HS Grad	45-59
1999	Employed,	ON	Male	3	No	17.05	Some PS	30-44
1999	Employed,	BC	Female	5	No	11	HS Dropout	15-29
1999	Employed,	ON	Female	6	No	8.5	Some PS	45-59
1999	Employed,	BC	Female	42	No	8.5	Some PS	30-44
1999	Employed,	ON	Female	240	NA	NA	Some PS	45-59
1999	Employed,	ON	Male	26	No	14	Some PS	30-44
1999	Employed,	QU	Female	117	No	13.74	HS Dropout	30-44
1999	Employed,	BC	Female	120	NA	NA	HS Dropout	45-59
1999	Employed,	AL	Female	109	NA	NA	Some PS	30-44
1999	Employed,	BC	Male	240	Yes	32	HS Grad	45-59
1999	Employed,	QU	Female	67	NA	NA	Some PS	30-44
1999	Employed,	ON	Male	109	No	35.9	BA or More	45-59
1999	Unemployed	QU	Male	NA	NA	NA	HS Dropout	60+
1999	Employed,	ON	Female	84	No	10.29	Some PS	30-44
1999	Employed,	QU	Male	69	No	17.5	HS Grad	30-44
1999	Unemployed	ON	Male	NA	NA	NA	Some PS	30-44
1999	Employed,	ON	Male	191	No	9.7	BA or More	45-59
1999	Unemployed	QU	Female	NA	NA	NA	Some PS	15-29
1999	Employed,	ON	Male	139	Yes	19	Some PS	30-44
1999	Employed,	AL	Female	200	Yes	20.51	Some PS	30-44
1999	Employed,	BC	Female	12	NA	NA	HS Grad	30-44
1999	Employed,	BC	Female	240	No	15	Some PS	30-44
1999	Employed,	BC	Female	240	No	26.44	Some PS	45-59
1999	Unemployed	QU	Male	NA	NA	NA	HS Dropout	30-44
1999	Employed,	ON	Female	235	NA	NA	Some PS	60+
1999	Unemployed	QU	Male	NA	NA	NA	Some PS	15-29
1999	Employed,	QU	Female	8	No	6.9	HS Dropout	30-44
1999	Employed,	ON	Female	5	No	20	BA or More	30-44
1999	Employed,	ON	Female	9	No	11.86	BA or More	15-29
1999	Unemployed	QU	Male	NA	NA	NA	HS Dropout	45-59
1999	Employed,	QU	Female	70	NA	NA	Some PS	45-59
1999	Employed,	AL	Male	41	No	14	HS Grad	15-29
1999	Employed,	ON	Female	87	No	21.71	Some PS	45-59
1999	Unemployed	ON	Female	NA	NA	NA	Some PS	45-59
1999	Employed,	ON	Female	2	NA	NA	Some PS	30-44
1999	Employed,	ON	Female	80	Yes	8.5	HS Dropout	30-44
1999	Employed,	BC	Male	55	Yes	22	Some PS	45-59
1999	Unemployed	QU	Male	NA	NA	NA	Some PS	15-29
1999	Unemployed	ON	Male	NA	NA	NA	Some PS	30-44
1999	Employed,	ON	Male	27	No	20.98	BA or More	15-29
1999	Employed,	AL	Male	240	NA	NA	Some PS	60+
1999	Employed,	ON	Male	240	Yes	21	HS Grad	45-59
1999	Employed,	ON	Male	154	No	30.59	BA or More	45-59
1999	Employed,	BC	Female	15	No	15.48	Some PS	30-44
1999	Employed,	QU	Female	27	Yes	8.89	Some PS	30-44
1999	Employed,	ON	Female	16	NA	NA	Some PS	15-29
1999	Employed,	ON	Male	23	No	23.32	Some PS	30-44
1999	Employed,	AL	Female	19	NA	NA	BA or More	60+
1999	Employed,	ON	Female	7	No	7	HS Dropout	15-29
1999	Employed,	ON	Male	30	No	9	Some PS	30-44
1999	Employed,	ON	Male	192	No	18.35	HS Grad	30-44
1999	Employed,	ON	Male	58	No	28.58	Some PS	45-59
1999	Employed,	ON	Female	2	Yes	10.5	HS Grad	15-29
1999	Employed,	ON	Male	2	No	8	Some PS	15-29
1999	Employed,	ON	Female	99	No	15.5	Some PS	45-59
1999	Employed,	ON	Male	2	No	7.2	Some PS	15-29
1999	Unemployed	BC	Female	NA	NA	NA	HS Grad	30-44
1999	Employed,	QU	Male	161	No	7	HS Dropout	45-59
1999	Employed,	ON	Male	240	Yes	24.12	HS Grad	45-59
1999	Employed,	ON	Male	75	No	17	Some PS	30-44
1999	Employed,	QU	Male	58	NA	NA	Some PS	30-44
1999	Employed,	ON	Male	240	No	10.25	HS Dropout	45-59
1999	Employed,	ON	Male	54	No	17.79	Some PS	15-29
1999	Employed,	ON	Male	103	No	48.08	BA or More	45-59
1999	Employed,	ON	Female	187	Yes	30.29	BA or More	45-59
1999	Employed,	ON	Male	119	NA	NA	HS Grad	30-44
1999	Employed,	ON	Male	6	No	14.23	HS Dropout	30-44
1999	Employed,	AL	Male	240	No	33.85	BA or More	45-59
1999	Employed,	QU	Female	159	Yes	28.57	BA or More	45-59
1999	Employed,	ON	Male	33	No	23.59	Some PS	30-44
1999	Employed,	BC	Male	82	Yes	17	HS Grad	30-44
1999	Employed,	QU	Female	1	No	9	BA or More	30-44
1999	Employed,	ON	Male	75	No	17.58	Some PS	45-59
1999	Employed,	QU	Male	12	NA	NA	Some PS	15-29
1999	Unemployed	ON	Male	NA	NA	NA	HS Grad	45-59
1999	Employed,	ON	Female	36	No	20.46	BA or More	30-44
1999	Employed,	ON	Female	40	No	8.25	HS Dropout	30-44
1999	Employed,	ON	Male	34	No	6.85	HS Dropout	15-29
1999	Employed,	ON	Male	10	No	28.85	Some PS	30-44
1999	Employed,	ON	Male	3	No	40.87	BA or More	45-59
1999	Employed,	BC	Male	202	Yes	18.63	HS Dropout	30-44
1999	Unemployed	BC	Female	NA	NA	NA	Some PS	30-44
1999	Employed,	BC	Female	2	No	9	Some PS	15-29
1999	Employed,	ON	Female	240	Yes	31.66	Some PS	60+
1999	Employed,	ON	Male	8	No	13	HS Grad	15-29
1999	Employed,	QU	Female	83	No	10	Some PS	15-29
1999	Employed,	BC	Female	31	NA	NA	Some PS	30-44
1999	Employed,	ON	Male	240	NA	NA	Some PS	60+
1999	Employed,	BC	Female	11	No	9.5	HS Dropout	15-29
1999	Employed,	QU	Male	240	No	14.96	BA or More	30-44
1999	Employed,	QU	Female	32	Yes	16.48	Some PS	15-29
1999	Employed,	ON	Female	221	No	21	Some PS	45-59
1999	Employed,	AL	Female	63	No	7.5	HS Grad	15-29
1999	Employed,	QU	Male	240	Yes	20	Some PS	30-44
1999	Employed,	ON	Male	191	NA	NA	HS Dropout	60+
1999	Employed,	AL	Female	56	NA	NA	BA or More	45-59
1999	Employed,	ON	Male	1	No	10	HS Grad	15-29
1999	Employed,	QU	Male	4	No	6.9	Some PS	15-29
1999	Employed,	BC	Female	56	NA	NA	HS Grad	15-29
1999	Employed,	ON	Female	195	Yes	19.44	HS Grad	45-59
1999	Employed,	ON	Female	101	Yes	20.33	BA or More	30-44
1999	Employed,	ON	Male	38	No	12.03	HS Grad	30-44
1999	Employed,	ON	Male	8	No	24.04	BA or More	15-29
1999	Employed,	ON	Female	35	NA	NA	HS Grad	30-44
1999	Employed,	ON	Female	43	Yes	22.5	Some PS	15-29
1999	Employed,	QU	Male	214	Yes	12	HS Grad	30-44
1999	Employed,	QU	Male	3	No	8	HS Dropout	30-44
1999	Employed,	QU	Male	56	Yes	27.34	Some PS	45-59
1999	Unemployed	QU	Male	NA	NA	NA	HS Dropout	15-29
1999	Employed,	ON	Female	6	No	30	BA or More	30-44
1999	Employed,	AL	Female	205	Yes	16.3	HS Grad	30-44
1999	Employed,	BC	Female	49	No	15	BA or More	15-29
1999	Employed,	ON	Female	7	No	6.85	Some PS	15-29
1999	Employed,	QU	Male	146	NA	NA	HS Grad	30-44
1999	Employed,	AL	Female	151	No	12.31	Some PS	45-59
1999	Employed,	ON	Male	18	No	14	Some PS	45-59
1999	Employed,	QU	Male	240	Yes	23	Some PS	45-59
1999	Employed,	QU	Female	150	Yes	15.07	HS Dropout	45-59
1999	Employed,	BC	Female	31	Yes	16.38	BA or More	30-44
1999	Employed,	AL	Female	23	No	9.81	Some PS	15-29
1999	Employed,	ON	Male	127	No	8	Some PS	60+
1999	Employed,	BC	Female	240	Yes	31.25	BA or More	45-59
1999	Employed,	QU	Female	4	Yes	12.77	Some PS	15-29
1999	Employed,	QU	Female	10	Yes	12.77	Some PS	15-29
1999	Employed,	ON	Male	107	Yes	23.08	Some PS	45-59
1999	Employed,	AL	Female	20	No	9	HS Grad	15-29
1999	Unemployed	QU	Male	NA	NA	NA	HS Dropout	15-29
1999	Employed,	AL	Female	72	No	12	Some PS	15-29
1999	Employed,	ON	Female	3	No	12.69	Some PS	15-29
1999	Employed,	BC	Female	9	No	7.5	HS Dropout	15-29
1999	Employed,	ON	Female	12	Yes	7	HS Grad	15-29
1999	Employed,	ON	Male	240	No	17.48	HS Dropout	30-44
1999	Employed,	QU	Male	16	No	19.98	HS Dropout	30-44
1999	Employed,	ON	Male	155	No	21.63	HS Grad	45-59
1999	Employed,	QU	Male	188	Yes	35.71	BA or More	30-44
1999	Employed,	ON	Male	94	No	21.63	BA or More	15-29
1999	Employed,	QU	Female	11	No	7.5	HS Dropout	60+
1999	Employed,	ON	Female	12	No	7	HS Dropout	15-29
1999	Unemployed	ON	Female	NA	NA	NA	Some PS	30-44
1999	Employed,	ON	Male	16	No	10	Some PS	30-44
1999	Employed,	ON	Male	115	NA	NA	Some PS	30-44
1999	Employed,	QU	Female	13	No	10.5	Some PS	45-59
1999	Employed,	QU	Male	5	No	13	Some PS	15-29
1999	Unemployed	BC	Female	NA	NA	NA	HS Dropout	15-29
1999	Employed,	QU	Male	6	Yes	23.08	Some PS	30-44
1999	Employed,	AL	Male	240	No	27.18	Some PS	30-44
1999	Employed,	AL	Female	222	No	22.12	Some PS	30-44
1999	Employed,	ON	Female	14	No	8	Some PS	15-29
1999	Employed,	ON	Male	16	No	7.5	Some PS	15-29
1999	Employed,	ON	Female	183	NA	NA	Some PS	45-59
1999	Employed,	AL	Female	94	No	19.23	Some PS	30-44
1999	Employed,	ON	Female	3	No	7	HS Dropout	30-44
1999	Employed,	QU	Female	129	No	10	HS Grad	45-59
1999	Employed,	ON	Male	31	No	7.5	HS Dropout	15-29
1999	Employed,	QU	Male	22	No	31	Some PS	30-44
1999	Employed,	ON	Male	60	No	22.12	Some PS	30-44
1999	Employed,	ON	Male	41	No	31.25	Some PS	30-44
1999	Employed,	ON	Female	240	No	23.08	HS Grad	30-44
1999	Employed,	ON	Female	5	No	16	Some PS	30-44
1999	Employed,	AL	Male	108	No	38.46	Some PS	45-59
1999	Employed,	ON	Female	163	Yes	13.5	HS Dropout	45-59
1999	Employed,	QU	Male	33	No	7.8	Some PS	15-29
1999	Employed,	BC	Female	58	Yes	11.08	HS Grad	30-44
1999	Employed,	ON	Male	149	NA	NA	BA or More	45-59
1999	Employed,	ON	Male	99	No	16	Some PS	15-29
1999	Employed,	ON	Female	43	NA	NA	Some PS	30-44
1999	Employed,	ON	Male	240	No	22.04	BA or More	30-44
1999	Employed,	QU	Male	226	NA	NA	BA or More	45-59
1999	Unemployed	ON	Male	NA	NA	NA	HS Grad	15-29
1999	Employed,	QU	Female	240	No	15.43	HS Grad	45-59
1999	Employed,	AL	Female	49	No	8.4	HS Grad	45-59
1999	Employed,	QU	Female	154	No	10.25	HS Dropout	30-44
1999	Employed,	ON	Male	72	No	12	HS Dropout	30-44
1999	Employed,	ON	Female	7	No	6.87	Some PS	15-29
1999	Employed,	ON	Male	18	No	12.5	HS Dropout	15-29
1999	Employed,	ON	Male	8	Yes	7	Some PS	15-29
1999	Unemployed	BC	Male	NA	NA	NA	Some PS	45-59
1999	Employed,	QU	Male	240	NA	NA	BA or More	45-59
1999	Employed,	QU	Male	240	No	15	Some PS	45-59
1999	Employed,	QU	Male	2	No	5.52	HS Grad	15-29
1999	Employed,	QU	Male	92	Yes	18.75	HS Grad	30-44
1999	Employed,	QU	Male	63	NA	NA	HS Grad	30-44
1999	Employed,	AL	Male	3	NA	NA	Some PS	30-44
1999	Employed,	BC	Male	240	Yes	34.62	BA or More	45-59
1999	Employed,	BC	Male	19	Yes	21	BA or More	15-29
1999	Employed,	ON	Female	95	No	15	Some PS	30-44
1999	Employed,	ON	Male	214	No	12	HS Grad	30-44
1999	Employed,	ON	Female	69	No	12.02	Some PS	30-44
1999	Employed,	BC	Female	1	No	13	HS Grad	30-44
1999	Employed,	BC	Female	24	No	14.42	Some PS	15-29
1999	Employed,	QU	Female	89	Yes	9.5	HS Dropout	45-59
1999	Employed,	ON	Female	54	No	19.78	BA or More	30-44
1999	Employed,	ON	Female	120	No	24.62	BA or More	30-44
1999	Employed,	QU	Male	238	Yes	20	Some PS	45-59
1999	Employed,	BC	Female	240	Yes	28.72	HS Grad	45-59
1999	Employed,	ON	Male	19	No	23.5	Some PS	30-44
1999	Employed,	BC	Female	34	No	10	BA or More	45-59
1999	Employed,	AL	Female	63	NA	NA	Some PS	30-44
1999	Employed,	QU	Male	6	Yes	20	Some PS	30-44
1999	Employed,	ON	Female	106	No	7.25	HS Grad	15-29
1999	Employed,	QU	Male	145	Yes	21.15	Some PS	30-44
1999	Employed,	ON	Female	6	No	28.85	BA or More	30-44
1999	Employed,	BC	Male	240	Yes	22.5	Some PS	45-59
1999	Employed,	BC	Female	47	No	15	Some PS	15-29
1999	Employed,	ON	Male	65	No	11	Some PS	30-44
1999	Employed,	ON	Female	28	No	8.5	Some PS	15-29
1999	Employed,	AL	Female	28	No	11.54	Some PS	15-29
1999	Unemployed	QU	Male	NA	NA	NA	HS Dropout	45-59
1999	Employed,	ON	Male	7	No	6.85	HS Dropout	15-29
1999	Employed,	ON	Male	39	No	23.08	BA or More	15-29
1999	Employed,	AL	Female	39	No	13.27	Some PS	15-29
1999	Employed,	QU	Female	25	No	8	BA or More	30-44
1999	Employed,	ON	Male	36	No	16.5	HS Grad	30-44
1999	Employed,	BC	Male	219	Yes	26.75	Some PS	30-44
1999	Employed,	ON	Male	145	No	22.5	Some PS	30-44
1999	Employed,	ON	Female	114	No	11.14	HS Grad	45-59
1999	Employed,	QU	Male	130	No	10.5	HS Dropout	45-59
1999	Employed,	ON	Male	5	No	19.75	Some PS	30-44
1999	Employed,	ON	Male	16	No	7.1	Some PS	15-29
1999	Unemployed	ON	Male	NA	NA	NA	HS Dropout	30-44
1999	Employed,	ON	Male	32	No	13.27	Some PS	45-59
1999	Employed,	ON	Female	211	NA	NA	HS Grad	30-44
1999	Employed,	AL	Male	27	NA	NA	BA or More	30-44
1999	Employed,	AL	Female	113	Yes	22.14	Some PS	45-59
1999	Unemployed	ON	Male	NA	NA	NA	HS Dropout	15-29
1999	Unemployed	QU	Female	NA	NA	NA	HS Dropout	30-44
1999	Employed,	QU	Female	14	No	8	Some PS	15-29
1999	Employed,	QU	Male	75	NA	NA	Some PS	30-44
1999	Employed,	ON	Male	118	No	31.03	BA or More	30-44
1999	Employed,	ON	Female	61	Yes	19	HS Grad	15-29
1999	Employed,	QU	Male	160	Yes	19.71	Some PS	45-59
1999	Employed,	QU	Female	240	Yes	21.63	HS Grad	30-44
1999	Employed,	ON	Male	171	No	13.5	HS Dropout	30-44
1999	Unemployed	ON	Female	NA	NA	NA	Some PS	30-44
1999	Employed,	QU	Male	240	NA	NA	Some PS	45-59
1999	Employed,	AL	Male	33	No	48.08	BA or More	30-44
1999	Employed,	ON	Male	111	NA	NA	HS Grad	45-59
1999	Employed,	BC	Female	162	Yes	7.69	HS Dropout	45-59
1999	Employed,	AL	Male	166	No	17.31	BA or More	30-44
1999	Employed,	AL	Female	56	No	16	HS Grad	15-29
1999	Employed,	BC	Female	240	NA	NA	HS Dropout	60+
1999	Employed,	ON	Female	15	No	18.65	HS Dropout	15-29
1999	Employed,	AL	Male	77	No	15.38	HS Grad	30-44
1999	Employed,	AL	Male	32	NA	NA	HS Grad	15-29
1999	Employed,	BC	Male	46	Yes	24.55	Some PS	15-29
1999	Employed,	BC	Female	8	No	8	HS Dropout	30-44
1999	Unemployed	ON	Male	NA	NA	NA	HS Dropout	15-29
1999	Employed,	ON	Female	9	No	18.03	Some PS	30-44
1999	Employed,	BC	Female	210	No	12	Some PS	45-59
1999	Employed,	QU	Male	223	Yes	17.1	HS Dropout	45-59
1999	Employed,	AL	Male	3	No	10	HS Dropout	15-29
1999	Employed,	ON	Male	181	NA	NA	Some PS	30-44
1999	Employed,	ON	Female	240	No	12	Some PS	30-44
1999	Employed,	ON	Female	58	Yes	14.66	Some PS	30-44
1999	Employed,	QU	Male	47	NA	NA	BA or More	45-59
1999	Employed,	ON	Male	60	Yes	13.55	HS Grad	45-59
1999	Employed,	BC	Male	5	NA	NA	BA or More	45-59
1999	Employed,	ON	Female	29	No	12.4	Some PS	15-29
1999	Employed,	ON	Male	226	Yes	21.39	HS Grad	45-59
1999	Employed,	ON	Male	110	No	20.19	Some PS	30-44
1999	Employed,	ON	Male	240	Yes	30.29	BA or More	45-59
1999	Employed,	AL	Female	43	No	11.83	Some PS	15-29
1999	Employed,	QU	Female	87	No	14.29	Some PS	45-59
1999	Unemployed	ON	Female	NA	NA	NA	HS Dropout	60+
1999	Employed,	AL	Male	48	NA	NA	HS Grad	30-44
1999	Employed,	ON	Male	144	Yes	24.4	Some PS	30-44
1999	Employed,	ON	Female	211	NA	NA	Some PS	30-44
1999	Employed,	ON	Male	3	No	7	Some PS	15-29
1999	Employed,	QU	Male	138	No	23.81	Some PS	45-59
1999	Employed,	BC	Male	67	Yes	24	Some PS	30-44
1999	Employed,	ON	Male	8	No	16	Some PS	45-59
1999	Employed,	QU	Female	30	NA	NA	HS Dropout	15-29
1999	Employed,	ON	Male	19	No	8	Some PS	30-44
1999	Employed,	AL	Female	63	No	7.1	Some PS	30-44
1999	Employed,	ON	Female	95	Yes	18.6	HS Grad	30-44
1999	Employed,	AL	Male	53	NA	NA	Some PS	15-29
1999	Employed,	ON	Female	46	NA	NA	HS Grad	30-44
1999	Employed,	BC	Male	27	No	18.46	Some PS	30-44
1999	Employed,	QU	Female	193	Yes	14.8	Some PS	30-44
1999	Employed,	AL	Male	63	No	15	HS Dropout	15-29
1999	Employed,	BC	Male	13	No	7.15	HS Dropout	15-29
1999	Employed,	BC	Female	17	No	10	Some PS	30-44
1999	Employed,	ON	Female	5	Yes	11.46	Some PS	30-44
1999	Employed,	AL	Male	229	Yes	29	Some PS	30-44
1999	Employed,	QU	Male	3	No	7.25	HS Grad	15-29
1999	Unemployed	QU	Male	NA	NA	NA	Some PS	45-59
1999	Employed,	AL	Female	55	No	13.5	Some PS	30-44
1999	Employed,	ON	Male	147	No	23.08	BA or More	30-44
1999	Employed,	BC	Female	19	No	15	HS Dropout	30-44
1999	Employed,	AL	Male	240	Yes	18.46	Some PS	30-44
1999	Employed,	BC	Female	91	Yes	17.77	BA or More	30-44
1999	Employed,	ON	Female	18	NA	NA	HS Dropout	45-59
1999	Employed,	BC	Female	76	No	29.81	BA or More	30-44
1999	Employed,	ON	Male	69	No	9.62	Some PS	15-29
1999	Employed,	ON	Female	8	Yes	7.6	HS Grad	15-29
1999	Employed,	QU	Male	35	NA	NA	Some PS	15-29
1999	Employed,	ON	Male	6	No	6.4	HS Dropout	15-29
1999	Employed,	BC	Male	57	No	10	HS Grad	15-29
1999	Employed,	QU	Male	1	No	12	HS Dropout	45-59
1999	Employed,	ON	Female	240	NA	NA	Some PS	45-59
1999	Employed,	BC	Male	240	No	12.5	HS Grad	45-59
1999	Employed,	AL	Female	240	Yes	24.52	BA or More	45-59
1999	Unemployed	ON	Female	NA	NA	NA	Some PS	30-44
1999	Employed,	QU	Female	4	No	6.9	Some PS	15-29
1999	Employed,	ON	Male	4	No	10.49	Some PS	15-29
1999	Employed,	ON	Male	179	No	21.25	Some PS	45-59
1999	Unemployed	BC	Female	NA	NA	NA	HS Grad	15-29
1999	Employed,	AL	Male	240	NA	NA	HS Dropout	60+
1999	Employed,	ON	Male	3	No	20.48	Some PS	30-44
1999	Employed,	ON	Male	91	Yes	19.09	Some PS	45-59
1999	Employed,	ON	Male	8	No	7.5	BA or More	45-59
1999	Employed,	BC	Male	8	No	26.49	BA or More	30-44
1999	Employed,	ON	Female	240	No	21.98	Some PS	30-44
1999	Employed,	QU	Male	24	NA	NA	HS Dropout	60+
1999	Employed,	BC	Male	31	Yes	11.67	HS Grad	15-29
1999	Employed,	QU	Male	15	No	8	HS Dropout	15-29
1999	Employed,	QU	Female	12	No	13.46	HS Dropout	30-44
1999	Employed,	ON	Male	106	No	14.5	Some PS	30-44
1999	Employed,	QU	Female	89	Yes	12	Some PS	45-59
1999	Employed,	QU	Female	144	No	12.02	HS Grad	30-44
1999	Employed,	ON	Female	65	No	10.5	BA or More	15-29
1999	Employed,	AL	Male	1	No	7	BA or More	15-29
1999	Employed,	ON	Male	62	No	10	Some PS	30-44
1999	Employed,	ON	Male	240	No	32.4	HS Dropout	45-59
1999	Employed,	ON	Male	128	No	27.4	Some PS	30-44
1999	Employed,	ON	Male	32	No	30.22	BA or More	30-44
1999	Employed,	QU	Female	12	No	4.62	Some PS	45-59
1999	Employed,	QU	Female	21	Yes	18	BA or More	30-44
1999	Employed,	AL	Male	31	Yes	25	BA or More	15-29
1999	Employed,	QU	Male	54	NA	NA	HS Grad	45-59
1999	Employed,	AL	Male	63	NA	NA	Some PS	30-44
1999	Unemployed	QU	Male	NA	NA	NA	HS Dropout	60+
1999	Employed,	AL	Female	240	No	8.77	HS Grad	45-59
1999	Employed,	QU	Male	5	NA	NA	HS Dropout	45-59
1999	Employed,	ON	Female	178	Yes	27	Some PS	45-59
1999	Employed,	ON	Male	4	No	9	HS Grad	30-44
1999	Unemployed	AL	Male	NA	NA	NA	Some PS	45-59
1999	Employed,	ON	Female	1	No	15.63	BA or More	15-29
1999	Employed,	QU	Male	36	No	6.85	Some PS	15-29
1999	Employed,	BC	Male	3	No	8	HS Dropout	15-29
1999	Employed,	QU	Female	8	No	10	Some PS	15-29
1999	Employed,	ON	Female	93	No	8.9	HS Dropout	30-44
1999	Employed,	BC	Male	18	No	23.08	Some PS	15-29
1999	Employed,	ON	Male	163	Yes	18	Some PS	30-44
1999	Employed,	BC	Female	35	No	19.69	Some PS	45-59
1999	Employed,	ON	Female	114	No	38.46	BA or More	30-44
1999	Unemployed	QU	Male	NA	NA	NA	HS Dropout	15-29
1999	Employed,	BC	Female	92	No	11	Some PS	60+
1999	Employed,	BC	Female	46	Yes	18.69	HS Dropout	30-44
1999	Unemployed	ON	Male	NA	NA	NA	HS Dropout	15-29
1999	Employed,	QU	Female	7	Yes	14.46	Some PS	30-44
1999	Employed,	QU	Male	8	Yes	12	HS Grad	45-59
1999	Employed,	AL	Male	240	No	22	Some PS	45-59
1999	Employed,	ON	Male	78	Yes	23	Some PS	30-44
1999	Employed,	BC	Male	118	NA	NA	BA or More	60+
1999	Employed,	ON	Female	83	No	11.58	HS Grad	45-59
1999	Employed,	ON	Male	5	Yes	7.5	HS Dropout	15-29
1999	Employed,	ON	Male	39	NA	NA	Some PS	60+
1999	Employed,	ON	Male	87	No	17.6	HS Dropout	45-59
1999	Employed,	BC	Female	10	No	7.5	HS Grad	15-29
1999	Employed,	ON	Male	229	No	18.46	Some PS	45-59
1999	Employed,	AL	Male	55	No	20	BA or More	30-44
1999	Employed,	ON	Male	35	No	7.35	HS Dropout	15-29
1999	Employed,	QU	Male	127	Yes	22	HS Grad	30-44
1999	Unemployed	QU	Male	NA	NA	NA	HS Dropout	45-59
1999	Employed,	AL	Female	24	Yes	15	Some PS	15-29
1999	Employed,	ON	Male	190	Yes	24	HS Grad	30-44
1999	Employed,	ON	Female	58	No	11	HS Grad	45-59
1999	Unemployed	AL	Male	NA	NA	NA	BA or More	30-44
1999	Employed,	AL	Male	19	No	20	HS Grad	30-44
1999	Unemployed	ON	Female	NA	NA	NA	HS Grad	15-29
1999	Unemployed	QU	Female	NA	NA	NA	HS Grad	30-44
1999	Employed,	ON	Female	19	No	10	HS Grad	45-59
1999	Employed,	QU	Female	240	Yes	14.52	Some PS	30-44
1999	Employed,	ON	Male	130	No	26.92	Some PS	45-59
1999	Employed,	AL	Male	104	No	20	Some PS	30-44
1999	Employed,	ON	Female	175	NA	NA	Some PS	30-44
1999	Employed,	QU	Female	7	No	14.58	HS Dropout	45-59
1999	Employed,	AL	Male	12	No	5.61	HS Dropout	15-29
